Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG104458.001,sp|Q3TMH2|SCRN3_MOUSE,Secernin-3 OS=Mus musculus GN=Scrn3 PE=1 SV=1,Scrn3,Q3TMH2
SJPG108266.001,sp|Q3TMP8|TM38A_MOUSE,Trimeric intracellular cation channel type A OS=Mus musculus GN=Tmem38a PE=1 SV=2,Tmem38a,Q3TMP8
SJPG107735.001,sp|Q3TMV7|PYRD1_MOUSE,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 OS=Mus musculus GN=Pyroxd1 PE=2 SV=1,Pyroxd1,Q3TMV7
SJPG103504.001,sp|Q3TPX4|EXOC5_MOUSE,Exocyst complex component 5 OS=Mus musculus GN=Exoc5 PE=1 SV=2,Exoc5,Q3TPX4
SJPG107112.001,sp|Q3TSG4|ALKB5_MOUSE,RNA demethylase ALKBH5 OS=Mus musculus GN=Alkbh5 PE=1 SV=2,Alkbh5,Q3TSG4
SJPG100464.001,sp|Q3TVI8|PBIP1_MOUSE,Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Mus musculus GN=Pbxip1 PE=1 SV=2,Pbxip1,Q3TVI8
SJPG103617.001,sp|Q3TW96|UAP1L_MOUSE,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus GN=Uap1l1 PE=2 SV=1,Uap1l1,Q3TW96
SJPG104097.001,sp|Q3TWI9|CSCL2_MOUSE,CSC1-like protein 2 OS=Mus musculus GN=Tmem63b PE=1 SV=1,Tmem63b,Q3TWI9
SJPG102756.001,sp|Q3TWW8|SRSF6_MOUSE,Serine/arginine-rich splicing factor 6 OS=Mus musculus GN=Srsf6 PE=2 SV=1,Srsf6,Q3TWW8
SJPG101448.001,sp|Q3TXS7|PSMD1_MOUSE,26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1,Psmd1,Q3TXS7
SJPG105911.001,sp|Q3TYD6|LMTK2_MOUSE,Serine/threonine-protein kinase LMTK2 OS=Mus musculus GN=Lmtk2 PE=1 SV=3,Lmtk2,Q3TYD6
SJPG110502.004,sp|Q3TYS2|CQ062_MOUSE,Uncharacterized protein C17orf62 homolog OS=Mus musculus PE=2 SV=2,,Q3TYS2
SJPG104640.001,sp|Q3TYX3|SMYD5_MOUSE,SET and MYND domain-containing protein 5 OS=Mus musculus GN=Smyd5 PE=2 SV=2,Smyd5,Q3TYX3
SJPG120276.001,sp|Q3TZ89|SC31B_MOUSE,Protein transport protein Sec31B OS=Mus musculus GN=Sec31b PE=2 SV=2,Sec31b,Q3TZ89
SJPG101983.001,sp|Q3TZM9|ALG11_MOUSE,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Mus musculus GN=Alg11 PE=2 SV=1",Alg11,Q3TZM9
SJPG103004.001,sp|Q3TZZ7|ESYT2_MOUSE,Extended synaptotagmin-2 OS=Mus musculus GN=Esyt2 PE=1 SV=1,Esyt2,Q3TZZ7
SJPG104078.001,sp|Q3U0B3|DHR11_MOUSE,Dehydrogenase/reductase SDR family member 11 OS=Mus musculus GN=Dhrs11 PE=2 SV=1,Dhrs11,Q3U0B3
SJPG103753.001,sp|Q3U0M1|TPPC9_MOUSE,Trafficking protein particle complex subunit 9 OS=Mus musculus GN=Trappc9 PE=1 SV=2,Trappc9,Q3U0M1
SJPG106675.001,sp|Q3U0S6|RAIN_MOUSE,Ras-interacting protein 1 OS=Mus musculus GN=Rasip1 PE=1 SV=3,Rasip1,Q3U0S6
SJPG100777.001,sp|Q3U0V1|FUBP2_MOUSE,Far upstream element-binding protein 2 OS=Mus musculus GN=Khsrp PE=1 SV=2,Khsrp,Q3U0V1
SJPG102297.001,sp|Q3U186|SYRM_MOUSE,"Probable arginine--tRNA ligase, mitochondrial OS=Mus musculus GN=Rars2 PE=1 SV=1",Rars2,Q3U186
SJPG101160.001,sp|Q3U1J4|DDB1_MOUSE,DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2,Ddb1,Q3U1J4
SJPG105012.001,sp|Q3U1Y4|DEN4B_MOUSE,DENN domain-containing protein 4B OS=Mus musculus GN=Dennd4b PE=2 SV=2,Dennd4b,Q3U1Y4
SJPG106567.001,sp|Q3U213|SRAC1_MOUSE,Protein SERAC1 OS=Mus musculus GN=Serac1 PE=2 SV=1,Serac1,Q3U213
SJPG107008.001,sp|Q3U2A8|SYVM_MOUSE,"Valine--tRNA ligase, mitochondrial OS=Mus musculus GN=Vars2 PE=1 SV=2",Vars2,Q3U2A8
SJPG102555.001,sp|Q3U2P1|SC24A_MOUSE,Protein transport protein Sec24A OS=Mus musculus GN=Sec24a PE=1 SV=1,Sec24a,Q3U2P1
SJPG104422.001,sp|Q3U308|CTU2_MOUSE,Cytoplasmic tRNA 2-thiolation protein 2 OS=Mus musculus GN=Ctu2 PE=2 SV=1,Ctu2,Q3U308
SJPG102521.001,sp|Q3U3Q1|ULK3_MOUSE,Serine/threonine-protein kinase ULK3 OS=Mus musculus GN=Ulk3 PE=2 SV=1,Ulk3,Q3U3Q1
SJPG104676.001,sp|Q3U3R4|LMF1_MOUSE,Lipase maturation factor 1 OS=Mus musculus GN=Lmf1 PE=1 SV=1,Lmf1,Q3U3R4
SJPG117759.001,sp|Q3U410|KLH21_MOUSE,Kelch-like protein 21 OS=Mus musculus GN=Klhl21 PE=2 SV=1,Klhl21,Q3U410
SJPG106864.001,sp|Q3U4H6|HEXDC_MOUSE,Hexosaminidase D OS=Mus musculus GN=Hexdc PE=1 SV=1,Hexdc,Q3U4H6
SJPG103367.001,sp|Q3U5Q7|CMPK2_MOUSE,"UMP-CMP kinase 2, mitochondrial OS=Mus musculus GN=Cmpk2 PE=2 SV=2",Cmpk2,Q3U5Q7
SJPG101858.001,sp|Q3U7R1|ESYT1_MOUSE,Extended synaptotagmin-1 OS=Mus musculus GN=Esyt1 PE=1 SV=2,Esyt1,Q3U7R1
SJPG113589.001,sp|Q3U962|CO5A2_MOUSE,Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1,Col5a2,Q3U962
SJPG104533.001,sp|Q3U9G9|LBR_MOUSE,Lamin-B receptor OS=Mus musculus GN=Lbr PE=1 SV=2,Lbr,Q3U9G9
SJPG104176.001,sp|Q3UBX0|TM109_MOUSE,Transmembrane protein 109 OS=Mus musculus GN=Tmem109 PE=1 SV=2,Tmem109,Q3UBX0
SJPG108214.001,sp|Q3UCV8|OTUL_MOUSE,Ubiquitin thioesterase otulin OS=Mus musculus GN=Otulin PE=1 SV=1,Otulin,Q3UCV8
SJPG102049.001,sp|Q3UDE2|TTL12_MOUSE,Tubulin--tyrosine ligase-like protein 12 OS=Mus musculus GN=Ttll12 PE=2 SV=1,Ttll12,Q3UDE2
SJPG106515.001,sp|Q3UDK1|TRAD1_MOUSE,TRAF-type zinc finger domain-containing protein 1 OS=Mus musculus GN=Trafd1 PE=1 SV=1,Trafd1,Q3UDK1
SJPG101680.001,sp|Q3UE37|UBE2Z_MOUSE,Ubiquitin-conjugating enzyme E2 Z OS=Mus musculus GN=Ube2z PE=2 SV=2,Ube2z,Q3UE37
SJPG111266.001,sp|Q3UES3|TNKS2_MOUSE,Tankyrase-2 OS=Mus musculus GN=Tnks2 PE=2 SV=2,Tnks2,Q3UES3
SJPG103843.001,sp|Q3UFK8|FRMD8_MOUSE,FERM domain-containing protein 8 OS=Mus musculus GN=Frmd8 PE=1 SV=2,Frmd8,Q3UFK8
SJPG100785.001,sp|Q3UFY7|5NT3B_MOUSE,7-methylguanosine phosphate-specific 5'-nucleotidase OS=Mus musculus GN=Nt5c3b PE=2 SV=3,Nt5c3b,Q3UFY7
SJPG106384.001,sp|Q3UFY8|MRRP1_MOUSE,Mitochondrial ribonuclease P protein 1 OS=Mus musculus GN=Trmt10c PE=1 SV=2,Trmt10c,Q3UFY8
SJPG100552.001,sp|Q3UGR5|HDHD2_MOUSE,Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Mus musculus GN=Hdhd2 PE=1 SV=2,Hdhd2,Q3UGR5
SJPG102125.001,sp|Q3UH68|LIMC1_MOUSE,LIM and calponin homology domains-containing protein 1 OS=Mus musculus GN=Limch1 PE=1 SV=2,Limch1,Q3UH68
SJPG102109.001,sp|Q3UHB1|NT5D3_MOUSE,5'-nucleotidase domain-containing protein 3 OS=Mus musculus GN=Nt5dc3 PE=2 SV=1,Nt5dc3,Q3UHB1
SJPG102258.001,sp|Q3UHC7|DAB2P_MOUSE,Disabled homolog 2-interacting protein OS=Mus musculus GN=Dab2ip PE=1 SV=1,Dab2ip,Q3UHC7
SJPG100569.001,sp|Q3UHD6|SNX27_MOUSE,Sorting nexin-27 OS=Mus musculus GN=Snx27 PE=1 SV=2,Snx27,Q3UHD6
SJPG107742.001,sp|Q3UHH1|ZSWM8_MOUSE,Zinc finger SWIM domain-containing protein 8 OS=Mus musculus GN=Zswim8 PE=1 SV=1,Zswim8,Q3UHH1
SJPG101259.001,sp|Q3UHJ0|AAK1_MOUSE,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2,Aak1,Q3UHJ0
SJPG107318.001,sp|Q3UHQ6|DOP2_MOUSE,Protein dopey-2 OS=Mus musculus GN=Dopey2 PE=1 SV=3,Dopey2,Q3UHQ6
SJPG107529.001,sp|Q3UHU5|MTCL1_MOUSE,Microtubule cross-linking factor 1 OS=Mus musculus GN=Mtcl1 PE=1 SV=1,Mtcl1,Q3UHU5
SJPG105893.001,sp|Q3UHX0|NOL8_MOUSE,Nucleolar protein 8 OS=Mus musculus GN=Nol8 PE=1 SV=2,Nol8,Q3UHX0
SJPG100805.001,sp|Q3UHX2|HAP28_MOUSE,28 kDa heat- and acid-stable phosphoprotein OS=Mus musculus GN=Pdap1 PE=1 SV=1,Pdap1,Q3UHX2
SJPG113108.001,sp|Q3UHZ5|LMOD2_MOUSE,Leiomodin-2 OS=Mus musculus GN=Lmod2 PE=1 SV=1,Lmod2,Q3UHZ5
SJPG104632.001,sp|Q3UIA2|RHG17_MOUSE,Rho GTPase-activating protein 17 OS=Mus musculus GN=Arhgap17 PE=2 SV=1,Arhgap17,Q3UIA2
SJPG100594.001,sp|Q3UIU2|NDUB6_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Mus musculus GN=Ndufb6 PE=1 SV=3,Ndufb6,Q3UIU2
SJPG118008.001,sp|Q3UJB3|LR14B_MOUSE,Leucine-rich repeat-containing protein 14B OS=Mus musculus GN=Lrrc14b PE=2 SV=1,Lrrc14b,Q3UJB3
SJPG100739.001,sp|Q3UJB9|EDC4_MOUSE,Enhancer of mRNA-decapping protein 4 OS=Mus musculus GN=Edc4 PE=1 SV=2,Edc4,Q3UJB9
SJPG105153.001,sp|Q3UJD6|UBP19_MOUSE,Ubiquitin carboxyl-terminal hydrolase 19 OS=Mus musculus GN=Usp19 PE=1 SV=1,Usp19,Q3UJD6
SJPG107005.001,sp|Q3UKC1|TAXB1_MOUSE,Tax1-binding protein 1 homolog OS=Mus musculus GN=Tax1bp1 PE=1 SV=2,Tax1bp1,Q3UKC1
SJPG105527.001,sp|Q3UKJ7|SMU1_MOUSE,WD40 repeat-containing protein SMU1 OS=Mus musculus GN=Smu1 PE=2 SV=2,Smu1,Q3UKJ7
SJPG106276.001,sp|Q3UL36|ARGL1_MOUSE,Arginine and glutamate-rich protein 1 OS=Mus musculus GN=Arglu1 PE=1 SV=2,Arglu1,Q3UL36
SJPG101300.001,sp|Q3ULD5|MCCB_MOUSE,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus GN=Mccc2 PE=1 SV=1",Mccc2,Q3ULD5
SJPG104784.001,sp|Q3ULF4|SPG7_MOUSE,Paraplegin OS=Mus musculus GN=Spg7 PE=1 SV=1,Spg7,Q3ULF4
SJPG102154.001,sp|Q3ULJ0|GPD1L_MOUSE,Glycerol-3-phosphate dehydrogenase 1-like protein OS=Mus musculus GN=Gpd1l PE=1 SV=2,Gpd1l,Q3ULJ0
SJPG100038.001,sp|Q3UM45|PP1R7_MOUSE,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus GN=Ppp1r7 PE=1 SV=2,Ppp1r7,Q3UM45
SJPG103862.001,sp|Q3UMB5|SMCR8_MOUSE,Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog OS=Mus musculus GN=Smcr8 PE=1 SV=2,Smcr8,Q3UMB5
SJPG103854.001,sp|Q3UMB9|WASH7_MOUSE,WASH complex subunit 7 OS=Mus musculus GN=Kiaa1033 PE=2 SV=2,Kiaa1033,Q3UMB9
SJPG105879.001,sp|Q3UMC0|SPAT5_MOUSE,Spermatogenesis-associated protein 5 OS=Mus musculus GN=Spata5 PE=1 SV=2,Spata5,Q3UMC0
SJPG104578.001,sp|Q3UMF0|COBL1_MOUSE,Cordon-bleu protein-like 1 OS=Mus musculus GN=Cobll1 PE=1 SV=2,Cobll1,Q3UMF0
SJPG100636.001,sp|Q3UMR5|MCU_MOUSE,"Calcium uniporter protein, mitochondrial OS=Mus musculus GN=Mcu PE=1 SV=2",Mcu,Q3UMR5
SJPG102455.001,sp|Q3UMT1|PP12C_MOUSE,Protein phosphatase 1 regulatory subunit 12C OS=Mus musculus GN=Ppp1r12c PE=1 SV=1,Ppp1r12c,Q3UMT1
SJPG106343.001,sp|Q3UMU9|HDGR2_MOUSE,Hepatoma-derived growth factor-related protein 2 OS=Mus musculus GN=Hdgfrp2 PE=1 SV=1,Hdgfrp2,Q3UMU9
SJPG106396.001,sp|Q3UMW7|MAPK3_MOUSE,MAP kinase-activated protein kinase 3 OS=Mus musculus GN=Mapkapk3 PE=1 SV=2,Mapkapk3,Q3UMW7
SJPG106219.001,sp|Q3UN02|LCLT1_MOUSE,Lysocardiolipin acyltransferase 1 OS=Mus musculus GN=Lclat1 PE=2 SV=2,Lclat1,Q3UN02
SJPG107142.001,sp|Q3UPF5|ZCCHV_MOUSE,Zinc finger CCCH-type antiviral protein 1 OS=Mus musculus GN=Zc3hav1 PE=1 SV=1,Zc3hav1,Q3UPF5
SJPG101319.001,sp|Q3UPH1|PRRC1_MOUSE,Protein PRRC1 OS=Mus musculus GN=Prrc1 PE=2 SV=1,Prrc1,Q3UPH1
SJPG100690.001,sp|Q3UPL0|SC31A_MOUSE,Protein transport protein Sec31A OS=Mus musculus GN=Sec31a PE=1 SV=2,Sec31a,Q3UPL0
SJPG108765.001,sp|Q3UQ28|PXDN_MOUSE,Peroxidasin homolog OS=Mus musculus GN=Pxdn PE=2 SV=2,Pxdn,Q3UQ28
SJPG102477.001,sp|Q3UQ44|IQGA2_MOUSE,Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus GN=Iqgap2 PE=1 SV=2,Iqgap2,Q3UQ44
SJPG105342.001,sp|Q3UQ84|SYTM_MOUSE,"Threonine--tRNA ligase, mitochondrial OS=Mus musculus GN=Tars2 PE=2 SV=1",Tars2,Q3UQ84
SJPG103925.001,sp|Q3UQN2|FCHO2_MOUSE,FCH domain only protein 2 OS=Mus musculus GN=Fcho2 PE=1 SV=1,Fcho2,Q3UQN2
SJPG111964.001,sp|Q3UQS8|RBM20_MOUSE,RNA-binding protein 20 OS=Mus musculus GN=Rbm20 PE=1 SV=3,Rbm20,Q3UQS8
SJPG103366.001,sp|Q3URD3|SLMAP_MOUSE,Sarcolemmal membrane-associated protein OS=Mus musculus GN=Slmap PE=1 SV=2,Slmap,Q3URD3
SJPG104280.001,sp|Q3URE1|ACSF3_MOUSE,"Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=2 SV=2",Acsf3,Q3URE1
SJPG104160.001,sp|Q3URS9|CCD51_MOUSE,Coiled-coil domain-containing protein 51 OS=Mus musculus GN=Ccdc51 PE=2 SV=1,Ccdc51,Q3URS9
SJPG102634.001,sp|Q3USB7|PLCL1_MOUSE,Inactive phospholipase C-like protein 1 OS=Mus musculus GN=Plcl1 PE=1 SV=3,Plcl1,Q3USB7
SJPG104186.001,sp|Q3UU96|MRCKA_MOUSE,Serine/threonine-protein kinase MRCK alpha OS=Mus musculus GN=Cdc42bpa PE=2 SV=2,Cdc42bpa,Q3UU96
SJPG104973.001,sp|Q3UUG6|TBC24_MOUSE,TBC1 domain family member 24 OS=Mus musculus GN=Tbc1d24 PE=2 SV=2,Tbc1d24,Q3UUG6
SJPG104480.001,sp|Q3UUQ7|PGAP1_MOUSE,GPI inositol-deacylase OS=Mus musculus GN=Pgap1 PE=1 SV=3,Pgap1,Q3UUQ7
SJPG111735.001,sp|Q3UV17|K22O_MOUSE,"Keratin, type II cytoskeletal 2 oral OS=Mus musculus GN=Krt76 PE=2 SV=1",Krt76,Q3UV17
SJPG118017.001,sp|Q3UV48|LRC30_MOUSE,Leucine-rich repeat-containing protein 30 OS=Mus musculus GN=Lrrc30 PE=2 SV=1,Lrrc30,Q3UV48
SJPG103623.001,sp|Q3UV70|PDP1_MOUSE,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Mus musculus GN=Pdp1 PE=2 SV=1",Pdp1,Q3UV70
SJPG103001.001,sp|Q3UVK0|ERMP1_MOUSE,Endoplasmic reticulum metallopeptidase 1 OS=Mus musculus GN=Ermp1 PE=2 SV=2,Ermp1,Q3UVK0
SJPG101757.001,sp|Q3UVL4|VPS51_MOUSE,Vacuolar protein sorting-associated protein 51 homolog OS=Mus musculus GN=Vps51 PE=2 SV=2,Vps51,Q3UVL4
SJPG103940.001,sp|Q3UW53|NIBAN_MOUSE,Protein Niban OS=Mus musculus GN=Fam129a PE=1 SV=2,Fam129a,Q3UW53
SJPG121301.001,sp|Q3UWA4|TRI40_MOUSE,Tripartite motif-containing protein 40 OS=Mus musculus GN=Trim40 PE=2 SV=1,Trim40,Q3UWA4
SJPG103872.002,sp|Q3UZ39-2|LRRF1_MOUSE,Isoform 2 of Leucine-rich repeat flightless-interacting protein 1 OS=Mus musculus GN=Lrrfip1,Lrrfip1,Q3UZ39-2
SJPG103872.001,sp|Q3UZ39|LRRF1_MOUSE,Leucine-rich repeat flightless-interacting protein 1 OS=Mus musculus GN=Lrrfip1 PE=1 SV=2,Lrrfip1,Q3UZ39
SJPG109308.001,sp|Q3UZA1|CPZIP_MOUSE,CapZ-interacting protein OS=Mus musculus GN=Rcsd1 PE=1 SV=1,Rcsd1,Q3UZA1
SJPG103248.001,sp|Q3V009|TMED1_MOUSE,Transmembrane emp24 domain-containing protein 1 OS=Mus musculus GN=Tmed1 PE=2 SV=1,Tmed1,Q3V009
SJPG112438.001,sp|Q3V1D3|AMPD1_MOUSE,AMP deaminase 1 OS=Mus musculus GN=Ampd1 PE=2 SV=2,Ampd1,Q3V1D3
SJPG104432.001,sp|Q3V1L4|5NTC_MOUSE,Cytosolic purine 5'-nucleotidase OS=Mus musculus GN=Nt5c2 PE=1 SV=2,Nt5c2,Q3V1L4
SJPG112731.001,sp|Q3V1M1|IGS10_MOUSE,Immunoglobulin superfamily member 10 OS=Mus musculus GN=Igsf10 PE=2 SV=2,Igsf10,Q3V1M1
SJPG103803.001,sp|Q3V384|LACE1_MOUSE,Lactation elevated protein 1 OS=Mus musculus GN=Lace1 PE=2 SV=1,Lace1,Q3V384
SJPG104770.001,sp|Q3V3Q7|PACS2_MOUSE,Phosphofurin acidic cluster sorting protein 2 OS=Mus musculus GN=Pacs2 PE=2 SV=2,Pacs2,Q3V3Q7
SJPG105475.001,sp|Q3V3R4|ITA1_MOUSE,Integrin alpha-1 OS=Mus musculus GN=Itga1 PE=1 SV=2,Itga1,Q3V3R4
SJPG108746.001,sp|Q3ZK22|VEZA_MOUSE,Vezatin OS=Mus musculus GN=Vezt PE=1 SV=2,Vezt,Q3ZK22
SJPG102411.001,sp|Q499X9|SYMM_MOUSE,"Methionine--tRNA ligase, mitochondrial OS=Mus musculus GN=Mars2 PE=2 SV=2",Mars2,Q499X9
SJPG100749.001,sp|Q4ACU6|SHAN3_MOUSE,SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus GN=Shank3 PE=1 SV=3,Shank3,Q4ACU6
SJPG108391.001,sp|Q4FZC9|SYNE3_MOUSE,Nesprin-3 OS=Mus musculus GN=Syne3 PE=1 SV=1,Syne3,Q4FZC9
SJPG100918.001,sp|Q4KMM3|OXR1_MOUSE,Oxidation resistance protein 1 OS=Mus musculus GN=Oxr1 PE=2 SV=3,Oxr1,Q4KMM3
SJPG105787.001,sp|Q4PJX1|ODR4_MOUSE,Protein odr-4 homolog OS=Mus musculus GN=Odr4 PE=2 SV=2,Odr4,Q4PJX1
SJPG106367.002,sp|Q4PZA2-2|ECE1_MOUSE,Isoform A of Endothelin-converting enzyme 1 OS=Mus musculus GN=Ece1,Ece1,Q4PZA2-2
SJPG106367.001,sp|Q4PZA2|ECE1_MOUSE,Endothelin-converting enzyme 1 OS=Mus musculus GN=Ece1 PE=1 SV=1,Ece1,Q4PZA2
SJPG107063.001,sp|Q4U2R1|HERC2_MOUSE,E3 ubiquitin-protein ligase HERC2 OS=Mus musculus GN=Herc2 PE=1 SV=3,Herc2,Q4U2R1
SJPG113583.002,sp|Q4U4S6-2|XIRP2_MOUSE,Isoform 2 of Xin actin-binding repeat-containing protein 2 OS=Mus musculus GN=Xirp2,Xirp2,Q4U4S6-2
SJPG113583.001,sp|Q4U4S6|XIRP2_MOUSE,Xin actin-binding repeat-containing protein 2 OS=Mus musculus GN=Xirp2 PE=1 SV=1,Xirp2,Q4U4S6
SJPG102642.001,sp|Q4VA53|PDS5B_MOUSE,Sister chromatid cohesion protein PDS5 homolog B OS=Mus musculus GN=Pds5b PE=1 SV=1,Pds5b,Q4VA53
SJPG100066.001,sp|Q4VAA2|CDV3_MOUSE,Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=2,Cdv3,Q4VAA2
SJPG102515.001,sp|Q4VAE3|TMM65_MOUSE,Transmembrane protein 65 OS=Mus musculus GN=Tmem65 PE=2 SV=1,Tmem65,Q4VAE3
SJPG105132.001,sp|Q4VBD2|TAPT1_MOUSE,Transmembrane anterior posterior transformation protein 1 OS=Mus musculus GN=Tapt1 PE=2 SV=2,Tapt1,Q4VBD2
SJPG106338.001,sp|Q4VC33|MAEA_MOUSE,Macrophage erythroblast attacher OS=Mus musculus GN=Maea PE=1 SV=1,Maea,Q4VC33
SJPG114558.001,sp|Q4ZJN1|C1QT9_MOUSE,Complement C1q and tumor necrosis factor-related protein 9 OS=Mus musculus GN=C1qtnf9 PE=1 SV=1,C1qtnf9,Q4ZJN1
SJPG101891.001,sp|Q501J6|DDX17_MOUSE,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=1 SV=1,Ddx17,Q501J6
SJPG105664.001,sp|Q505B7|ARCH_MOUSE,Protein archease OS=Mus musculus GN=Zbtb8os PE=2 SV=2,Zbtb8os,Q505B7
SJPG103343.001,sp|Q505D1|ANR28_MOUSE,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Mus musculus GN=Ankrd28 PE=1 SV=1,Ankrd28,Q505D1
SJPG104172.001,sp|Q505D7|OPA3_MOUSE,Optic atrophy 3 protein homolog OS=Mus musculus GN=Opa3 PE=1 SV=1,Opa3,Q505D7
SJPG102530.001,sp|Q505F5|LRC47_MOUSE,Leucine-rich repeat-containing protein 47 OS=Mus musculus GN=Lrrc47 PE=2 SV=1,Lrrc47,Q505F5
SJPG115570.001,sp|Q505K2|F16A1_MOUSE,Protein FAM160A1 OS=Mus musculus GN=Fam160a1 PE=2 SV=2,Fam160a1,Q505K2
SJPG105640.001,sp|Q52KI8|SRRM1_MOUSE,Serine/arginine repetitive matrix protein 1 OS=Mus musculus GN=Srrm1 PE=1 SV=2,Srrm1,Q52KI8
SJPG102067.001,sp|Q569Z5|DDX46_MOUSE,Probable ATP-dependent RNA helicase DDX46 OS=Mus musculus GN=Ddx46 PE=1 SV=2,Ddx46,Q569Z5
SJPG100093.001,sp|Q569Z6|TR150_MOUSE,Thyroid hormone receptor-associated protein 3 OS=Mus musculus GN=Thrap3 PE=1 SV=1,Thrap3,Q569Z6
SJPG107303.001,sp|Q570Y9|DPTOR_MOUSE,DEP domain-containing mTOR-interacting protein OS=Mus musculus GN=Deptor PE=1 SV=2,Deptor,Q570Y9
SJPG105418.001,sp|Q571I9|A16A1_MOUSE,Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus GN=Aldh16a1 PE=2 SV=2,Aldh16a1,Q571I9
SJPG102436.001,sp|Q58A65|JIP4_MOUSE,C-Jun-amino-terminal kinase-interacting protein 4 OS=Mus musculus GN=Spag9 PE=1 SV=2,Spag9,Q58A65
SJPG100705.001,sp|Q59J78|MIMIT_MOUSE,"Mimitin, mitochondrial OS=Mus musculus GN=Ndufaf2 PE=2 SV=1",Ndufaf2,Q59J78
SJPG105069.001,sp|Q5BKP2|UBP13_MOUSE,Ubiquitin carboxyl-terminal hydrolase 13 OS=Mus musculus GN=Usp13 PE=2 SV=1,Usp13,Q5BKP2
SJPG113087.001,sp|Q5DTJ9|MYPN_MOUSE,Myopalladin OS=Mus musculus GN=Mypn PE=2 SV=2,Mypn,Q5DTJ9
SJPG101137.001,sp|Q5DTM8|BRE1A_MOUSE,E3 ubiquitin-protein ligase BRE1A OS=Mus musculus GN=Rnf20 PE=2 SV=2,Rnf20,Q5DTM8
SJPG105182.001,sp|Q5DTX6|JCAD_MOUSE,Junctional protein associated with coronary artery disease OS=Mus musculus GN=Jcad PE=1 SV=2,Jcad,Q5DTX6
SJPG119667.001,sp|Q5DU28|PCX2_MOUSE,Pecanex-like protein 2 OS=Mus musculus GN=Pcnxl2 PE=2 SV=2,Pcnxl2,Q5DU28
SJPG108716.001,sp|Q5DU37|ZFY26_MOUSE,Zinc finger FYVE domain-containing protein 26 OS=Mus musculus GN=Zfyve26 PE=2 SV=2,Zfyve26,Q5DU37
SJPG101834.001,sp|Q5EBG6|HSPB6_MOUSE,Heat shock protein beta-6 OS=Mus musculus GN=Hspb6 PE=2 SV=1,Hspb6,Q5EBG6
SJPG104704.001,sp|Q5EG47|AAPK1_MOUSE,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Mus musculus GN=Prkaa1 PE=1 SV=2,Prkaa1,Q5EG47
SJPG104529.001,sp|Q5F2E7|NUFP2_MOUSE,Nuclear fragile X mental retardation-interacting protein 2 OS=Mus musculus GN=Nufip2 PE=1 SV=1,Nufip2,Q5F2E7
SJPG103374.001,sp|Q5F2E8|TAOK1_MOUSE,Serine/threonine-protein kinase TAO1 OS=Mus musculus GN=Taok1 PE=1 SV=1,Taok1,Q5F2E8
SJPG103146.001,sp|Q5FW52|MLIP_MOUSE,Muscular LMNA-interacting protein OS=Mus musculus GN=Mlip PE=1 SV=1,Mlip,Q5FW52
SJPG118329.001,sp|Q5FW60|MUP20_MOUSE,Major urinary protein 20 OS=Mus musculus GN=Mup20 PE=1 SV=1,Mup20,Q5FW60
SJPG111528.001,sp|Q5FWH6|ARHGF_MOUSE,Rho guanine nucleotide exchange factor 15 OS=Mus musculus GN=Arhgef15 PE=1 SV=1,Arhgef15,Q5FWH6
SJPG107535.001,sp|Q5FWI3|TMEM2_MOUSE,Transmembrane protein 2 OS=Mus musculus GN=Tmem2 PE=1 SV=1,Tmem2,Q5FWI3
SJPG100698.001,sp|Q5FWK3|RHG01_MOUSE,Rho GTPase-activating protein 1 OS=Mus musculus GN=Arhgap1 PE=1 SV=1,Arhgap1,Q5FWK3
